Sampling_site,Treatment,Year,Country,Random_effects,System_type,Tem,EC,DO,Dopr,BOD,NO3.N,NH4.N,PO4.P,Chl.a,Area_m2,Depth_cm,Macrophyte_biomass,Fish_abundance,Agriculture_m,Gravel_eff,Highway_m,Highway_eff,Waste.effluent,Solid_waste,HII_mean,Forests,Wetlands,Water_bodies,Agricultural,Abund,SR,H,System_id,Freshwaters,Natural_areas,Water_PC1,Water_PC2,Water_PC3,HI_PC1,HI_PC2,HI_PC3,Abund_tr
I1_2016,I1,2016,Serbia,1_16_Serbia,Pond,13.7,905,13.58,163.9,3.3,0.308,0.269,0.03,8.89,893.55,75,130.8873333,13,179.53,2,258.25,2,0,74,0.55696475,0,100,0,0,1183.98,18,1.77,1,100,100,-1.389464366,-0.389444311,-0.782086926,-1.093509938,0.537553095,0.136223065,7.076636923
I2_2016,I2,2016,Serbia,1_16_Serbia,Pond,23,890,12.36,146.8,1.6,0.256,0.485,0.03,6.35,893.55,110,64.87773333,11,140.24,2,219.9,2,0,74,0.560977716,0,100,0,0,2543.98,15,0.44,1,100,100,-0.719517465,0.049955544,-0.834400312,-1.14444995,0.526364572,0.174119009,7.841485063
I3_2016,I3,2016,Serbia,1_16_Serbia,Pond,23.1,906,12.8,152.7,0.49,0.545,0.379,0.03,10.11,893.55,80,80.9304,10,156.12,2,288.01,2,0,74,0.556725283,0,100,0,0,1450.66,12,1.18,1,100,100,-0.848494546,-0.034269327,-0.917678614,-1.10412096,0.537106858,0.163490219,7.279773904
II1_2016,II1,2016,Serbia,2_16_Serbia,Pond,21.9,981,9.45,110.5,1.84,0.508,0.212,0.02,26.72,1882.43,125,151.5631333,30,342.85,3,130.36,2,0,151.15,0.669397533,0,100,0,0,826.64,20,2.41,2,100,100,-0.978087328,-0.222393621,-0.082940305,-1.670242746,1.260285871,-0.877854715,6.717369292
II2_2016,II2,2016,Serbia,2_16_Serbia,Pond,22,1035,9.41,109,3.43,0.537,0.535,0.02,14.79,1882.43,155,96.98503333,10,315.3,3,126.76,2,0,151.15,0.671046866,0,100,0,0,997.32,17,2.13,2,100,100,-0.478798013,-0.155009883,-0.067474954,-1.697222461,1.255194247,-0.849206905,6.905071681
II3_2016,II3,2016,Serbia,2_16_Serbia,Pond,22,1041,8.85,104.5,7.46,0.552,0.389,0.02,27.13,1882.43,170,101.4140667,23,327.45,3,107.83,2,0,254.86,0.735980311,0,100,0,0,448,11,2.07,2,100,100,-0.129646714,0.230050588,0.083861334,-1.693022626,1.255013893,-0.863669268,6.104793232
III1_2016,III1,2016,Serbia,3_16_Serbia,Pond,23.4,688,14.88,176.8,10.38,0.415,0.361,0.02,325.47,1621.21,55,81.72676667,159,438.01,2,154.58,2,0,47.11,0.531604057,0,100,0,0,517.34,6,0.77,3,100,100,0.599070621,2.149066409,0.315858111,-0.891953107,0.569073294,-0.144803849,6.248700299
III2_2016,III2,2016,Serbia,3_16_Serbia,Pond,23.6,706,11.02,132,9.82,0.726,0.732,0.02,414.57,1621.21,80,63.52826667,87,395.09,2,120.85,2,0,0,0.506219367,0,100,0,0,208,10,1.86,3,100,100,0.85379711,1.912567209,1.660952849,-0.944536475,0.55781621,-0.102679329,5.33753808
III3_2016,III3,2016,Serbia,3_16_Serbia,Pond,23.2,708,13.08,157.9,10.24,0.356,0.491,0.02,441.03,1621.21,100,35.5334,136,369.37,2,120.88,2,0,0,0.5075896,0,100,0,0,170.66,10,2,3,100,100,0.787963251,2.303094337,1.393429457,-0.968451745,0.553463704,-0.0756323,5.139673273
IV1_2016,IV1,2016,Serbia,4_16_Serbia,Pond,21.6,1204,7.71,89.1,4.51,0.697,0.402,0.08,86.88,429.42,110,33.6337,31,386.79,1,327.54,1,0,31.7,0.449417185,0,0,88.41,11.59,234.65,7,1.21,4,88.41,88.41,-0.165235215,-0.119326655,0.770242595,-0.194025893,-0.129345019,0.755417684,5.458095042
IV2_2016,IV2,2016,Serbia,4_16_Serbia,Pond,22.2,1189,8.16,94.4,5.69,0.634,0.452,0.16,85.8,429.42,120,122.6487333,21,374.1,1,335.84,1,0,0,0.429922667,0,0,67.32,32.68,261.32,8,1.31,4,67.32,67.32,0.136991175,-0.032421131,0.621226113,-0.202716674,-0.130512928,0.769500674,5.56574571
IV3_2016,IV3,2016,Serbia,4_16_Serbia,Pond,21.3,1230,8.95,103,9.02,0.56,0.427,0.05,92.05,429.42,120,15.11006667,14,385.32,1,345.85,1,0,0,0.428823767,0,0,95.21,4.79,575.98,14,2.15,4,95.21,95.21,0.406601724,0.484910155,0.584429458,-0.188523089,-0.127429158,0.758594875,6.356072938
V1_2016,V1,2016,Serbia,5_16_Serbia,Pond,20.4,1217,4.57,51.5,7.7,0.611,0.891,0.06,82.58,6340.88,170,181.5043667,36,505.39,1,68.77,3,0,27.7,0.453537441,0,0,41.91,58.09,2217.01,23,2.36,5,41.91,41.91,0.318853461,-0.246766186,1.499526645,-0.180791934,-0.139853291,0.607653302,7.70391472
V2_2016,V2,2016,Serbia,5_16_Serbia,Pond,21.7,1326,2.63,30,6.29,1.119,1.194,0.05,29.62,6340.88,220,98.66756667,30,522.86,1,129.94,2,1,320.91,0.8322838,0,0,65.91,34.09,1290.66,18,1.93,5,65.91,65.91,0.505604378,-0.74992603,1.64500738,-0.308560429,-2.359468313,-0.505245988,7.162908994
V3_2016,V3,2016,Serbia,5_16_Serbia,Pond,21.2,1296,3.66,31.3,6.44,6.422,1.511,0.05,54.95,6340.88,250,83.96043333,23,463.04,1,122.54,2,0,27.7,0.453107607,0,0,100,0,725.34,16,1.78,5,100,100,1.266216296,-1.661413594,1.412523785,-0.200013197,-0.14066854,0.656975096,6.58664051
VI1_2016,VI1,2016,Serbia,6_16_Serbia,Pond,17.9,975,9.16,98.6,3.54,19.086,1.711,2.03,9.53,14206.05,170,146.5404667,34,515.19,1,300.52,1,1,207,0.753172,0,100,0,0,559.99,15,2.44,6,100,100,3.765321306,-7.183979616,-1.245813271,-0.251690369,-2.340599328,-0.481981643,6.327918926
VI2_2016,VI2,2016,Serbia,6_16_Serbia,Pond,19.3,940,3.72,41.2,4.38,0.952,1.208,0.39,89.14,14206.05,180,8.3027,13,481.11,1,344.5,1,1,207,0.7527906,0,100,0,0,325.33,9,1.49,6,100,100,0.074308977,-1.305695832,1.485183052,-0.26689172,-2.341171424,-0.442228013,5.784840052
VI3_2016,VI3,2016,Serbia,6_16_Serbia,Pond,19.2,902,5.98,69.9,4.83,0.4,1.324,0.54,185.93,14206.05,200,10.5166,25,453.7,1,391.81,1,1,207,0.751886966,0,100,0,0,149.32,9,2.07,6,100,100,0.527433788,-0.885079165,1.559333911,-0.274638688,-2.340220147,-0.409191113,5.006091654
I1_2017,I1,2017,Serbia,1_17_Serbia,Pond,23.9,430,7.6,85,4.25,0.423,0.255,0.09,33.88,893.55,75,276.4,54,179.53,2,258.25,2,0,74,0.55696475,0,100,0,0,154.31,10,1.75,1,100,100,-1.228776744,-0.084217139,-0.137234384,-1.093509938,0.537553095,0.136223065,5.038963566
I2_2017,I2,2017,Serbia,1_17_Serbia,Pond,22.3,720,9.67,115,6.32,0.245,1.028,0.05,154.71,893.55,110,94.5,22,140.24,2,219.9,2,0,74,0.560977716,0,100,0,0,431.98,18,2.22,1,100,100,0.101313006,0.544540812,0.537973529,-1.14444995,0.526364572,0.174119009,6.068379291
I3_2017,I3,2017,Serbia,1_17_Serbia,Pond,22.4,644,6.7,80.2,3.35,0.384,0.599,0.05,114.56,893.55,80,193.5,73,156.12,2,288.01,2,0,74,0.556725283,0,100,0,0,399.98,23,2.6,1,100,100,-0.865961301,-0.103265103,0.782173314,-1.10412096,0.537106858,0.163490219,5.991414546
II1_2017,II1,2017,Serbia,2_17_Serbia,Pond,26.2,963,17.99,200,5.16,0.045,0.446,0.05,7.74,1882.43,125,101.7,23,342.85,3,130.36,2,0,151.15,0.669397533,0,100,0,0,1279.99,27,2.7,2,100,100,0.297688596,1.199200803,-2.029506238,-1.670242746,1.260285871,-0.877854715,7.154607544
II2_2017,II2,2017,Serbia,2_17_Serbia,Pond,27.2,972,13.2,127.5,4.21,0.056,0.881,0.05,12.71,1882.43,155,530.2,18,315.3,3,126.76,2,0,151.15,0.671046866,0,100,0,0,799.97,21,2.4,2,100,100,0.407047356,0.687505195,-0.997588919,-1.697222461,1.255194247,-0.849206905,6.684574227
II3_2017,II3,2017,Serbia,2_17_Serbia,Pond,26.6,980,14.33,182.3,4.35,0.373,0.535,0.05,22.02,1882.43,170,226.7,24,327.45,3,107.83,2,0,254.86,0.735980311,0,100,0,0,1264,22,2.56,2,100,100,0.206808314,0.776658685,-1.211329027,-1.693022626,1.255013893,-0.863669268,7.142036575
III1_2017,III1,2017,Serbia,3_17_Serbia,Pond,27.1,920,15.8,198,13.55,0.633,1.476,0.05,109.09,1621.21,55,24.8,28,438.01,2,154.58,2,0,47.11,0.531604057,0,100,0,0,1882.67,13,1.24,3,100,100,2.209219704,1.917759674,-0.952997979,-0.891953107,0.569073294,-0.144803849,7.540446261
III2_2017,III2,2017,Serbia,3_17_Serbia,Pond,27.9,930,17.88,200,16.83,0.195,1.612,0.05,104.27,1621.21,80,8.8,16,395.09,2,120.85,2,0,0,0.506219367,0,100,0,0,1210.65,10,1.14,3,100,100,2.827255826,2.540054221,-1.390280819,-0.944536475,0.55781621,-0.102679329,7.098912684
III3_2017,III3,2017,Serbia,3_17_Serbia,Pond,27,920,14.81,191,8.34,0.243,1.373,0.05,120.07,1621.21,100,9.7,10,369.37,2,120.88,2,0,0,0.5075896,0,100,0,0,1162.66,10,1.05,3,100,100,1.454520258,1.445532215,-0.669323255,-0.968451745,0.553463704,-0.0756323,7.058465762
IV1_2017,IV1,2017,Serbia,4_17_Serbia,Pond,17.7,1359,9.01,99.3,7.74,0.381,1.254,0.506,267.78,429.42,110,138.6,58,386.79,1,327.54,1,0,31.7,0.449417185,0,0,88.41,11.59,495.98,20,2.55,4,88.41,88.41,1.51480511,-0.119039354,1.783740178,-0.194025893,-0.129345019,0.755417684,6.206535603
IV2_2017,IV2,2017,Serbia,4_17_Serbia,Pond,17.7,1343,8.41,89.8,7.92,0.145,1.079,0.05,271.7,429.42,120,462.9,18,374.1,1,335.84,1,0,0,0.429922667,0,0,67.32,32.68,1157.31,27,2.56,4,67.32,67.32,0.865783787,0.591325142,2.059596344,-0.202716674,-0.130512928,0.769500674,7.053853626
IV3_2017,IV3,2017,Serbia,4_17_Serbia,Pond,19.9,1339,12.36,137,12.31,0.302,1.367,0.05,199.5,429.42,120,629.4,17,385.32,1,345.85,1,0,0,0.428823767,0,0,95.21,4.79,1119.97,21,1.82,4,95.21,95.21,1.868082181,1.262338996,0.793360966,-0.188523089,-0.127429158,0.758594875,7.021057178
V1_2017,V1,2017,Serbia,5_17_Serbia,Pond,23.7,1244,17.24,200,12.09,0.177,1.203,0.606,19.89,6340.88,170,495.3,72,505.39,1,68.77,3,0,27.7,0.453537441,0,0,41.91,58.09,2602.63,25,2.05,5,41.91,41.91,2.413305345,0.679101319,-1.64095838,-0.180791934,-0.139853291,0.607653302,7.864277751
V2_2017,V2,2017,Serbia,5_17_Serbia,Pond,22.5,1265,14.28,168.5,12.13,4.367,2.234,0.5,35.3,6340.88,220,97,33,522.86,1,129.94,2,1,320.91,0.8322838,0,0,65.91,34.09,869.34,18,2.24,5,65.91,65.91,3.317336663,-0.438796931,-0.87848877,-0.308560429,-2.359468313,-0.505245988,6.767734303
V3_2017,V3,2017,Serbia,5_17_Serbia,Pond,21.7,1274,18.8,182,14.52,2.943,1.62,0.5,46.84,6340.88,250,278.1,46,463.04,1,122.54,2,0,27.7,0.453107607,0,0,100,0,4314.65,33,1.97,5,100,100,3.15641248,0.547763741,-1.728924806,-0.200013197,-0.14066854,0.656975096,8.369771488
VI1_2017,VI1,2017,Serbia,6_17_Serbia,Pond,18.5,1173,11.08,134,8.17,0.166,2.22,0.6,51.57,14206.05,170,277.3,34,515.19,1,300.52,1,1,207,0.753172,0,100,0,0,437.3,22,2.5,6,100,100,1.987088316,-0.726305468,0.078610796,-0.251690369,-2.340599328,-0.481981643,6.080619458
VI2_2017,VI2,2017,Serbia,6_17_Serbia,Pond,19.1,1043,10.81,120,10.21,0.122,1.969,0.8,101.86,14206.05,180,448.6,13,481.11,1,344.5,1,1,207,0.7527906,0,100,0,0,2128,14,1.71,6,100,100,2.171607971,-0.604211563,0.201759127,-0.26689172,-2.341171424,-0.442228013,7.66293785
VI3_2017,VI3,2017,Serbia,6_17_Serbia,Pond,19.4,1003,7.08,79.3,6.88,1.043,1.723,0.05,25.03,14206.05,200,488.5,25,453.7,1,391.81,1,1,207,0.751886966,0,100,0,0,1759.98,23,1.99,6,100,100,0.581323007,-0.532895867,0.665722151,-0.274638688,-2.340220147,-0.409191113,7.473057724
B1_2017,B1,2017,Croatia,7_17_Croatia,Pond,13.1,390,10.72,103.2,2.07,0.006,0.121,0,44.77275591,4111.65,87,380.9,54,537,1,4000,0,0,0,0.238026667,0,100,0,0,138.66,8,1.47,7,100,100,-2.506461886,-0.595328851,-0.32715915,1.323694571,0.330297403,0.924705049,4.932024894
B2_2017,B2,2017,Croatia,7_17_Croatia,Pond,13.6,391,10.86,105.4,3.61,0.024,0.115,0,28.61338583,4111.65,107,235.25,18,577,1,4000,0,0,0,0.235893333,0,100,0,0,149.33,11,2.17,7,100,100,-2.308390863,-0.449081913,-0.472438624,1.360905343,0.337071978,0.882645396,5.006158622
B3_2017,B3,2017,Croatia,7_17_Croatia,Pond,13.6,391,10.87,103.6,3.2,0.016,0.124,0,40.21091207,4111.65,80,1180.2,9,612,1,4000,0,0,0,0.234026667,0,100,0,0,367.99,10,1.56,7,100,100,-2.33005569,-0.450523307,-0.403759614,1.393464768,0.342999732,0.8458432,5.908055764
C1_2017,C1,2017,Croatia,8_17_Croatia,Channel,15.9,375,9.91,101,3.93,0.106,0.008,0,50.47811024,475694.68,170,0,143,1420,1,4000,0,0,0,0.190933333,36.17,63.83,0,0,1029.29,21,2.27,8,63.83,100,-2.187595218,-0.257341484,-0.264022869,2.145122363,0.479846159,-0.003761779,6.936624523
C2_2017,C2,2017,Croatia,8_17_Croatia,Channel,15.3,416,10.16,102.1,2.67,0.191,0.017,0,44.01134514,475694.68,176,0,106,2990,1,4000,0,0,0,0.1072,0,100,0,0,1258.04,15,1.23,8,100,100,-2.312949748,-0.438499373,-0.301402381,3.605645165,0.745748251,-1.654603137,7.137310233
C3_2017,C3,2017,Croatia,8_17_Croatia,Channel,15.2,465,10.18,102.3,6.08,0.1,0.022,0,29.55779528,475694.68,192,0,79,3750,1,4000,0,0,0,0.066666667,0,100,0,0,1140.73,26,2.43,8,100,100,-1.892249071,-0.149263947,-0.359830741,4.312649833,0.874465188,-2.453736533,7.039423687
KB1_2017,KB1,2017,Croatia,9_17_Croatia,Channel,15.9,335,10.5,106.4,6.02,0.011,0.083,0,34.43716535,NA,211,654.8,39,813,1,4000,0,0,0,0.223306667,61.54,38.46,0,0,1243.81,31,2.7,9,38.46,100,-1.945613329,-0.045974066,-0.494702663,1.580448898,0.377041974,0.634493447,7.125934529
KB2_2017,KB2,2017,Croatia,9_17_Croatia,Channel,15.9,334,10.65,108.8,5.24,0.059,0.125,0,36.4312664,NA,184,409.9,36,981,1,4000,0,0,0,0.214346667,100,0,0,0,1366.4,18,2.09,9,0,100,-1.988419453,-0.114568242,-0.506663947,1.73673414,0.405495192,0.457842907,7.219934823
KB3_2017,KB3,2017,Croatia,9_17_Croatia,Channel,15.6,333,10.45,105.2,4.87,0.015,0.09,0,34.542979,NA,169,389.5,57,964,1,4000,0,0,0,0.215253333,100,0,0,0,698.06,19,2.47,9,0,100,-2.101908491,-0.185185297,-0.470492304,1.720919562,0.402615997,0.475718259,6.548305059
S1_2017,S1,2017,Croatia,10_17_Croatia,Lake,15.8,376,8.53,91,5.36,0.107,0.044,0,34.3453084,127142.48,368,0,19,930,1,4000,0,0,0,0.217066667,0,100,0,0,556.45,12,1.95,10,100,100,-2.094148197,-0.316246826,-0.076611074,1.689290406,0.396857608,0.511468963,6.321577319
S2_2017,S2,2017,Croatia,10_17_Croatia,Lake,15.7,381,7.93,80,4.82,0.081,0.113,0,29.81642295,127142.48,750,0,39,980,1,4000,0,0,0,0.2144,15.53,84.47,0,0,106.06,8,1.87,10,84.47,100,-2.141942399,-0.451109446,0.037677674,1.735803871,0.405325827,0.458894398,4.664004972
