"","RESP_teg","RESP_gil","RESP_pls","RESP_spi","RESP_ves","LCD_short","LCD_long","RLC_sev","RLC_unv","RLC_mlt","RLC_flx","REP_ovo","REP_fie","REP_cie","REP_fic","REP_frc","REP_vec","REP_tec","REP_ase","BodSz_0.25","BodSz_0.25_0.5","BodSz_0.5_1","BodSz_1_2","BodSz_2_4","BodSz_4_8","BodSz_8_","Feed_Gra","Feed_Min","Feed_Xyl","Feed_Shr","Feed_Gat","Feed_Aff","Feed_Pff","Feed_Pre","Feed_Par"
"I1_2016",0.657663136201625,0.324329802868292,0,0.0180070609300833,0,0.934240443250731,0.0657595567492694,0.0011254413081302,0.161783419764974,0.837091138926896,0,0.0531546140982111,0.000900353046504164,0.12762602971897,0.24159107417355,0.397151978918563,0.178675596997697,0.000900353046504164,0,0.00375147102710068,0.0303268073221958,0.402105891428346,0.286035237081707,0.258261682348238,0.019518910792412,0,0.21096428993733,0,0,0.0150164417191732,0.409163020771747,0.194446555966599,0.0630627206540651,0.102842390355693,0.00450458059539294
"I2_2016",0.527601763116586,0.470652285002241,0.000698380752469228,0.00104757112870384,0,0.96729769888128,0.0327023011187195,0.000698380752469228,0.0153732209634772,0.983928398284054,0,0.00544972837836775,0,0.00209514225740768,0.327256503588865,0.357020102359295,0.307480142663595,0,0.000698380752469228,0,0.00398142543049343,0.323058619433591,0.336132097474561,0.325648524490497,0.00908419091345058,0.00209514225740768,0.314817071413035,0.000698380752469228,0,0.00908550119628823,0.356391690710357,0.309924475297238,0.00104757112870384,0.00593885696166374,0.00209645254024534
"I3_2016",0.627759088966402,0.368566721354418,0,0.00367418967918051,0,0.822789626790564,0.177210373209436,0.00122472989306017,0.0355378471408416,0.963237422966098,0,0.0205878703486689,0,0.00367418967918051,0.276347547553068,0.478678670398301,0.220711722020781,0,0,0.00183709483959026,0.0213204104798276,0.275243452405572,0.336399753675339,0.307600218751005,0.0575990698486666,0,0.23744077408444,0,0,0.0309439611395273,0.458028874213576,0.228860771418986,0.00183709483959026,0.0281825743684484,0.0147059499354317
"II1_2016",0.530642117487661,0.443554630794542,0,0.0258032517177973,0,0.888526098768163,0.111473901231837,0.0187076599245137,0.481509282557502,0.499783057517984,0,0.0722563631084874,0.0364505709861608,0.0102089986773767,0.341083583341398,0.323440272266847,0.202688998032195,0.0138712135875351,0,0.00644778863834317,0.249466515048873,0.368817542501371,0.323653585599535,0.0516145682118778,0,0,0.423670924868544,0,0,0.0559171263589148,0.165590019032872,0.116126729894513,0,0.154825558888996,0.0838696409561599
"II2_2016",0.573527052500702,0.426472947499298,0,0,0,0.971122608591024,0.028877391408976,0,0.395987580047862,0.604012419952138,0,0.124064492840813,0.00802400433160871,0,0.304100322196821,0.461315659300258,0.0998208532199628,0.00267466811053624,0,0.00534933622107247,0.271124948194495,0.430299870319122,0.207666546344202,0.0855592989211086,0,0,0.416218799716574,0,0,0.034759822992286,0.183600382358053,0.164883554592976,0,0.0187201700557494,0.181817270284362
"II3_2016",0.571428571428571,0.428571428571429,0,0,0,0.898801339285714,0.101198660714286,0.0178571428571429,0.473215401785714,0.508927455357143,0,0.1,0,0,0.326190476190476,0.407142857142857,0.160718005952381,0.00594866071428571,0,0,0.225,0.378169642857143,0.273816964285714,0.111116071428571,0.0118973214285714,0,0.402775297619048,0,0,0.0535714285714286,0.152775297619048,0.117061011904762,0,0.0714285714285714,0.202388392857143
"III1_2016",0.992268140874473,0.00773185912552673,0,0,0,0.849480032473808,0.150519967526192,0,0.603950013530754,0.396049986469247,0,0.00206054045695287,0,0.264603548923339,0.338831329493177,0.126463576500303,0.268041004626229,0,0,0,0,0.408931585933171,0.47594264249172,0.0773234236672208,0.0378023479078878,0,0.0292087086506617,0,0,0.0257744745557403,0.539521075759333,0.00515618355433564,0,0.400339557479929,0
"III2_2016",0.923088942307692,0.0512860576923077,0,0.025625,0,0.784600961538462,0.215399038461538,0,0.649547275641026,0.350452724358974,0,0.0102596153846154,0,0.0940224358974359,0.552959935897436,0.193166666666667,0.149591346153846,0,0,0.0512980769230769,0.0298958333333333,0.179487179487179,0.58333733974359,0.113241185897436,0.0427403846153846,0,0.160252403846154,0,0,0.143153044871795,0.450861378205128,0.00640625,0.0128125,0.217972756410256,0.00854166666666667
"III3_2016",0.820315246689324,0.179684753310676,0,0,0,0.843724364232978,0.156275635767022,0.0312463377475683,0.572368061252393,0.396385601000039,0,0.0124926754951365,0,0.104164225165046,0.372926676823313,0.189573811477011,0.320842611039494,0,0,0.0625219735145904,0.0176979569514434,0.23747802648541,0.578118285870542,0.083343099339818,0.0208406578381968,0,0.0885434977928825,0,0,0.0781329348802688,0.364599203093871,0.0260410562912614,0,0.401041056291261,0.0416422516504551
"IV1_2016",0.931823993181334,0.0681760068186661,0,0,0,0.363605369699553,0.636394630300447,0,0.132184103984658,0.845101214574899,0.0227146814404432,0.0545408054549329,0,0.0530151289154059,0.0924128134100433,0.762159244264507,0.0303004474749627,0,0.00757156048014774,0.0113573407202216,0.0204432132963989,0.10074437104908,0.367433766602742,0.280318204417927,0.196988422473187,0.0227146814404432,0.0833297819447404,0,0,0,0.765175083457632,0.00757156048014774,0,0.121208892677037,0.0227146814404432
"IV2_2016",0.913276825348232,0.086723174651768,0,0,0,0.387723863462422,0.612276136537579,0,0.125508316750855,0.874491683249145,0,0.0326496249808664,0,0.0408184091025052,0.116315883463442,0.74967345272718,0.0605426297260064,0,0,0,0.00815857951936323,0.12788152456758,0.380950558701975,0.278917291698556,0.204092045512526,0,0.0459175213021073,0,0,0.00509911219960202,0.780629751517935,0.0322943772641461,0,0.13605923771621,0
"IV3_2016",0.810188721830619,0.189811278169381,0,0,0,0.833336226952325,0.166663773047675,0.0115715823466093,0.313104621688253,0.675323795965138,0,0.10000347234279,0,0.0679016632521963,0.221599708323206,0.477172818500642,0.133322337581166,0,0,0,0.0703704989756589,0.306176140375244,0.385794645647418,0.18519161544961,0.04321330601757,0.00925379353449773,0.13271872865956,0,0,0.00308459784483258,0.526248017870991,0.0771583504056854,0,0.251536511684433,0.00925379353449773
"V1_2016",0.669223413516403,0.330776586483597,0,0,0,0.821090664582349,0.178909335417651,0.0534041343972287,0.458282401372419,0.488313464230352,0,0.11322516963538,0.00902228677362754,0,0.314548122621609,0.370954122895251,0.186436536897293,0.00420949837844665,0.00160426279839363,0,0.1786605232573,0.347375669633124,0.339249334313633,0.112664504595529,0.0172371798052332,0.0048127883951809,0.230089550039618,0,0,0.0572847363491068,0.249338448330559,0.124895316965944,0.000801379635936088,0.186035095316064,0.151555473362772
"V2_2016",0.677686222552802,0.305787349108208,0,0.0103280492151302,0.00619837912385911,0.951240450622162,0.0487595493778377,0.00309918956192956,0.344214975283963,0.648556165062836,0.00412967009127113,0.161157857220337,0.00702625013558954,0.00412967009127113,0.241735494501521,0.525206483504563,0.0454547802416335,0.0152894643050842,0,0.00619708779487497,0.194761594842949,0.359639512600788,0.274109112133844,0.165292692627545,0,0,0.184228095186442,0.00929756868578867,0,0.0258272253472384,0.188357765277713,0.126720050206871,0,0.0358124267170801,0.429756868578867
