Sampling_site,Treatment,Year,Country,Random_effects,System_type,Tem,EC,DO,Dopr,BOD,NO3.N,NH4.N,PO4.P,Chl.a,Area_m2,Depth_cm,Macrophyte_biomass,Fish_abundance,Agriculture_m,Gravel_eff,Highway_m,Highway_eff,Waste.effluent,Solid_waste,HII_mean,Forests,Wetlands,Water_bodies,Agricultural,Abund,SR,H,FRic,FEve,FDiv,FDis,RaoQ,System_id,Water_PC1,Water_PC2,Water_PC3,HI_PC1,HI_PC2,HI_PC3
I1_2016,I1,2016,Serbia,1_16_Serbia,Pond,13.7,905,13.58,163.9,3.3,0.308,0.269,0.03,8.89,893.55,75,130.8873333,13,179.53,2,258.25,2,0,74,0.55696475,0,100,0,0,1183.98,18,1.77,71.94336232,0.420952768,0.683526324,3.392162969,16.23345497,1,-1.389464365636477,-0.3894443113275122,-0.7820869260786881,-0.7075456857072062,-0.9958968551100424,-0.10213766514519662
I2_2016,I2,2016,Serbia,1_16_Serbia,Pond,23,890,12.36,146.8,1.6,0.256,0.485,0.03,6.35,893.55,110,64.87773333,11,140.24,2,219.9,2,0,74,0.560977716,0,100,0,0,2543.98,15,0.44,22.4175281,0.593008952,0.681665207,0.662569324,2.346236403,1,-0.7195174652057257,0.04995554389378429,-0.8344003120707364,-0.7480149850728328,-1.0173202713159757,-0.1450625656932809
I3_2016,I3,2016,Serbia,1_16_Serbia,Pond,23.1,906,12.8,152.7,0.49,0.545,0.379,0.03,10.11,893.55,80,80.9304,10,156.12,2,288.01,2,0,74,0.556725283,0,100,0,0,1450.66,12,1.18,9.016408937,0.457850772,0.727500802,2.40086521,8.1796737,1,-0.848494546273755,-0.034269327343825734,-0.9176786139325888,-0.71451535376009645,-1.0030960927511032,-0.12069078441006553
II1_2016,II1,2016,Serbia,2_16_Serbia,Pond,21.9,981,9.45,110.5,1.84,0.508,0.212,0.02,26.72,1882.43,125,151.5631333,30,342.85,3,130.36,2,0,151.15,0.669397533,0,100,0,0,826.64,20,2.41,122.3948955,0.522444319,0.800776087,4.583933513,23.06136388,2,-0.9780873277220582,-0.22239362103968435,-0.08294030531415586,-1.505633036676137,-1.4306161673961477,1.2485911403047896
II2_2016,II2,2016,Serbia,2_16_Serbia,Pond,22,1035,9.41,109,3.43,0.537,0.535,0.02,14.79,1882.43,155,96.98503333,10,315.3,3,126.76,2,0,151.15,0.671046866,0,100,0,0,997.32,17,2.13,19.5208245,0.484200662,0.690968682,4.172118082,19.66958744,2,-0.4787980134176154,-0.15500988285425174,-0.06747495358826971,-1.526420605035145,-1.4431743396037624,1.2216013500111433
II3_2016,II3,2016,Serbia,2_16_Serbia,Pond,22,1041,8.85,104.5,7.46,0.552,0.389,0.02,27.13,1882.43,170,101.4140667,23,327.45,3,107.83,2,0,254.86,0.735980311,0,100,0,0,448,11,2.07,6.815645766,0.696754371,0.756657349,4.494649946,21.92678806,2,-0.12964671427739655,0.23005058831069225,0.08386133357342296,-2.0845891628898783,-1.0651714291678096,1.6847627369232863
III1_2016,III1,2016,Serbia,3_16_Serbia,Pond,23.4,688,14.88,176.8,10.38,0.415,0.361,0.02,325.47,1621.21,55,81.72676667,159,438.01,2,154.58,2,0,47.11,0.531604057,0,100,0,0,517.34,6,0.77,0.019508644,0.685971143,0.914476357,1.907582109,6.638668409,3,0.5990706209682327,2.1490664087103313,0.3158581112933987,-0.41193330468207223,-0.9897488695373986,0.015026598492186627
III2_2016,III2,2016,Serbia,3_16_Serbia,Pond,23.6,706,11.02,132,9.82,0.726,0.732,0.02,414.57,1621.21,80,63.52826667,87,395.09,2,120.85,2,0,0,0.506219367,0,100,0,0,208,10,1.86,8.190720769,0.609676668,0.651464454,3.775643401,16.67731381,3,0.8537971103360245,1.912567208701102,1.6609528494708186,-0.19880753700997383,-1.1824650432010608,-0.23700155098431452
III3_2016,III3,2016,Serbia,3_16_Serbia,Pond,23.2,708,13.08,157.9,10.24,0.356,0.491,0.02,441.03,1621.21,100,35.5334,136,369.37,2,120.88,2,0,0,0.5075896,0,100,0,0,170.66,10,2,10.6124991,0.686915749,0.70718994,3.844276426,16.85687201,3,0.7879632509011576,2.303094337375803,1.3934294573004085,-0.21710937945181458,-1.1938303364080702,-0.2617459217570668
IV1_2016,IV1,2016,Serbia,4_16_Serbia,Pond,21.6,1204,7.71,89.1,4.51,0.697,0.402,0.08,86.88,429.42,110,33.6337,31,386.79,1,327.54,1,0,31.7,0.449417185,0,0,88.41,11.59,234.65,7,1.21,0.175190727,0.563061827,0.526000941,3.0836394,12.32231553,4,-0.16523521519021875,-0.11932665532436047,0.7702425946536814,0.1468878683891354,-0.2776871730495802,-0.9515499741192575
