"","Df","SumOfSqs","R2","F","Pr(>F)"
"Agric_m_log",1,0.128470818278429,0.0642861785402263,3.94851733719529,0.00699300699300699
"Highway_m_log",1,0.102356420626242,0.0512186597648686,3.14589808667726,0.021978021978022
"Waste.effluent",1,0.0811254479594107,0.0405947833255934,2.49336963870846,0.034965034965035
"Gravel_eff",1,0.061406984693357,0.03072775930374,1.88732777556627,0.111888111888112
"Water_PC1",1,0.0305541522201007,0.0152891505719976,0.939073957658666,0.450549450549451
"Water_PC2",1,0.100131042633862,0.050105091338554,3.07750167025774,0.011988011988012
"Water_PC3",1,0.0529504653253025,0.0264961577524412,1.62741884228054,0.157842157842158
"Macrophyte_biomass",1,0.153600586029051,0.0768609932564344,4.72087424262087,0.001998001998002
"Fish_abundance",1,0.018902247535925,0.00945859360273146,0.580955684004454,0.698301698301698
"Residual",39,1.26892235362899,0.634962632543413,NA,NA
"Total",48,1.99842051893067,1,NA,NA
